2021-10-22 08:31:45,512 INFO    Thread-12 :8676 [dir_watcher.py:_on_file_created():217] file/dir created: C:\Users\vikram\mlops_vikram\hydra_config\outputs\2021-10-22\08-31-22\wandb\run-20211022_083136-2bqy6d6j\files\media\table\examples_1_c9e1c1ab872cb65e7291.table.json
2021-10-22 08:31:45,512 INFO    Thread-12 :8676 [dir_watcher.py:_on_file_modified():230] file/dir modified: C:\Users\vikram\mlops_vikram\hydra_config\outputs\2021-10-22\08-31-22\wandb\run-20211022_083136-2bqy6d6j\files\media\table
2021-10-22 08:31:45,997 INFO    Thread-19 :8676 [upload_job.py:push():95] Uploaded file C:\Users\vikram\.cache\wandb\artifacts\obj\md5\b3\f2351eecef50a26db01a2088f8f850
2021-10-22 08:31:46,517 INFO    Thread-12 :8676 [dir_watcher.py:_on_file_modified():230] file/dir modified: C:\Users\vikram\mlops_vikram\hydra_config\outputs\2021-10-22\08-31-22\wandb\run-20211022_083136-2bqy6d6j\files\output.log
2021-10-22 08:31:47,432 INFO    SenderThread:8676 [sender.py:send_request_log_artifact():929] logged artifact run-2bqy6d6j-conf_table - {'id': 'QXJ0aWZhY3Q6MzI4ODc3MjY=', 'digest': '1777cb79e3e4540667c2358e5e8816f5', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjU1MTY0MDU=', 'latestArtifact': None}, 'version': 'latest'}
2021-10-22 08:31:47,432 DEBUG   SenderThread:8676 [sender.py:send():185] send: files
2021-10-22 08:31:47,432 INFO    SenderThread:8676 [sender.py:_save_file():901] saving file media\table\conf_table_0_57cfb0310f6f3029f9af.table.json with policy now
2021-10-22 08:31:47,433 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,434 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,434 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,434 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,434 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,434 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
2021-10-22 08:31:47,435 DEBUG   SenderThread:8676 [sender.py:send():185] send: metric
